matrikelnummer,firstname,name,projects,negatives,skill,programing_skills
21,Firstname,Name,"['Projekt 16', 'Projekt 50', 'Projekt 13']","['Projekt 52', 'Projekt 19']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
22,Firstname,Name,"['Projekt 51', 'Projekt 6', 'Projekt 5']","['Projekt 20', 'Projekt 32']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
23,Firstname,Name,"['Projekt 24', 'Projekt 37', 'Projekt 18']","['Projekt 43', 'Projekt 27']",Schreiben,"{""C"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger""}"
24,Firstname,Name,"['Projekt 47', 'Projekt 10', 'Projekt 28']","['Projekt 43', 'Projekt 19']",Schreiben,"{""C"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten""}"
25,Firstname,Name,"['Projekt 26', 'Projekt 56', 'Projekt 34']","['Projekt 44', 'Projekt 36']",Schreiben,"{""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
26,Firstname,Name,"['Projekt 17', 'Projekt 56', 'Projekt 48']","['Projekt 57', 'Projekt 34']",Programmieren,"{""C"":""Anfänger"",""C#"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
27,Firstname,Name,"['Projekt 20', 'Projekt 40', 'Projekt 46']","['Projekt 54', 'Projekt 17']",Programmieren,"{""C++"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Experte""}"
28,Firstname,Name,"['Projekt 57', 'Projekt 20', 'Projekt 40']","['Projekt 35', 'Projekt 38']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
29,Firstname,Name,"['Projekt 54', 'Projekt 56', 'Projekt 28']","['Projekt 49', 'Projekt 7']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
30,Firstname,Name,"['Projekt 23', 'Projekt 46', 'Projekt 50']","['Projekt 51', 'Projekt 48']",Schreiben,"{""C"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""JavaScript"":""Experte""}"
31,Firstname,Name,"['Projekt 40', 'Projekt 26', 'Projekt 7']","['Projekt 49', 'Projekt 1']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
32,Firstname,Name,"['Projekt 28', 'Projekt 40', 'Projekt 57']","['Projekt 29', 'Projekt 3']",Schreiben,"{""C++"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
33,Firstname,Name,"['Projekt 1', 'Projekt 57', 'Projekt 22']","['Projekt 32', 'Projekt 0']",Schreiben,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
34,Firstname,Name,"['Projekt 23', 'Projekt 13', 'Projekt 43']","['Projekt 12', 'Projekt 8']",Programmieren,"{""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
35,Firstname,Name,"['Projekt 16', 'Projekt 12', 'Projekt 18']","['Projekt 38', 'Projekt 6']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
36,Firstname,Name,"['Projekt 12', 'Projekt 44', 'Projekt 7']","['Projekt 26', 'Projekt 54']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
37,Firstname,Name,"['Projekt 11', 'Projekt 55', 'Projekt 19']","['Projekt 6', 'Projekt 53']",Programmieren,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
38,Firstname,Name,"['Projekt 28', 'Projekt 33', 'Projekt 15']","['Projekt 40', 'Projekt 53']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""JavaScript"":""Experte""}"
39,Firstname,Name,"['Projekt 38', 'Projekt 26', 'Projekt 1']","['Projekt 0', 'Projekt 54']",Programmieren,"{""C++"":""Experte"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
40,Firstname,Name,"['Projekt 3', 'Projekt 5', 'Projekt 9']","['Projekt 29', 'Projekt 23']",Schreiben,"{""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
41,Firstname,Name,"['Projekt 50', 'Projekt 17', 'Projekt 34']","['Projekt 44', 'Projekt 51']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
42,Firstname,Name,"['Projekt 48', 'Projekt 16', 'Projekt 8']","['Projekt 45', 'Projekt 28']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
43,Firstname,Name,"['Projekt 46', 'Projekt 33', 'Projekt 42']","['Projekt 21', 'Projekt 10']",Programmieren,"{""C"":""Experte"",""C++"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
44,Firstname,Name,"['Projekt 20', 'Projekt 5', 'Projekt 24']","['Projekt 10', 'Projekt 48']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
45,Firstname,Name,"['Projekt 47', 'Projekt 26', 'Projekt 32']","['Projekt 53', 'Projekt 34']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""PHP"":""Anfänger""}"
46,Firstname,Name,"['Projekt 16', 'Projekt 26', 'Projekt 5']","['Projekt 15', 'Projekt 2']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
47,Firstname,Name,"['Projekt 53', 'Projekt 1', 'Projekt 13']","['Projekt 27', 'Projekt 16']",Schreiben,"{""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger""}"
48,Firstname,Name,"['Projekt 45', 'Projekt 24', 'Projekt 31']","['Projekt 33', 'Projekt 37']",Schreiben,"{""C"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger""}"
49,Firstname,Name,"['Projekt 36', 'Projekt 52', 'Projekt 10']","['Projekt 39', 'Projekt 41']",Schreiben,"{""C++"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""PHP"":""Fortgeschritten""}"
50,Firstname,Name,"['Projekt 37', 'Projekt 16', 'Projekt 10']","['Projekt 27', 'Projekt 7']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""PHP"":""Fortgeschritten""}"
51,Firstname,Name,"['Projekt 12', 'Projekt 51', 'Projekt 2']","['Projekt 13', 'Projekt 48']",Schreiben,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
52,Firstname,Name,"['Projekt 48', 'Projekt 49', 'Projekt 29']","['Projekt 7', 'Projekt 28']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
53,Firstname,Name,"['Projekt 0', 'Projekt 32', 'Projekt 55']","['Projekt 44', 'Projekt 22']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""PHP"":""Experte""}"
54,Firstname,Name,"['Projekt 42', 'Projekt 41', 'Projekt 49']","['Projekt 21', 'Projekt 52']",Schreiben,"{""C"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
55,Firstname,Name,"['Projekt 39', 'Projekt 33', 'Projekt 35']","['Projekt 26', 'Projekt 9']",Programmieren,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""PHP"":""Anfänger""}"
56,Firstname,Name,"['Projekt 45', 'Projekt 55', 'Projekt 23']","['Projekt 44', 'Projekt 34']",Programmieren,"{""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
57,Firstname,Name,"['Projekt 25', 'Projekt 41', 'Projekt 18']","['Projekt 13', 'Projekt 15']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Experte"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten""}"
58,Firstname,Name,"['Projekt 24', 'Projekt 6', 'Projekt 3']","['Projekt 10', 'Projekt 12']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Experte""}"
59,Firstname,Name,"['Projekt 2', 'Projekt 37', 'Projekt 38']","['Projekt 7', 'Projekt 15']",Programmieren,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
60,Firstname,Name,"['Projekt 46', 'Projekt 33', 'Projekt 58']","['Projekt 52', 'Projekt 59']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte""}"
61,Firstname,Name,"['Projekt 49', 'Projekt 27', 'Projekt 19']","['Projekt 52', 'Projekt 47']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""PHP"":""Anfänger""}"
62,Firstname,Name,"['Projekt 39', 'Projekt 33', 'Projekt 53']","['Projekt 54', 'Projekt 51']",Programmieren,"{""C++"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
63,Firstname,Name,"['Projekt 51', 'Projekt 39', 'Projekt 7']","['Projekt 34', 'Projekt 8']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""PHP"":""Fortgeschritten""}"
64,Firstname,Name,"['Projekt 13', 'Projekt 55', 'Projekt 16']","['Projekt 5', 'Projekt 50']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
65,Firstname,Name,"['Projekt 6', 'Projekt 18', 'Projekt 50']","['Projekt 53', 'Projekt 37']",Programmieren,"{""C"":""Experte"",""C++"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
66,Firstname,Name,"['Projekt 33', 'Projekt 29', 'Projekt 55']","['Projekt 34', 'Projekt 24']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten""}"
67,Firstname,Name,"['Projekt 33', 'Projekt 47', 'Projekt 57']","['Projekt 27', 'Projekt 16']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
68,Firstname,Name,"['Projekt 12', 'Projekt 29', 'Projekt 52']","['Projekt 19', 'Projekt 43']",Schreiben,"{""C++"":""Experte"",""C#"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
69,Firstname,Name,"['Projekt 27', 'Projekt 35', 'Projekt 24']","['Projekt 50', 'Projekt 37']",Schreiben,"{""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""Python"":""Fortgeschritten""}"
70,Firstname,Name,"['Projekt 19', 'Projekt 49', 'Projekt 17']","['Projekt 32', 'Projekt 31']",Programmieren,"{""C"":""Experte"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""PHP"":""Anfänger""}"
71,Firstname,Name,"['Projekt 42', 'Projekt 8', 'Projekt 58']","['Projekt 6', 'Projekt 34']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
72,Firstname,Name,"['Projekt 12', 'Projekt 14', 'Projekt 42']","['Projekt 59', 'Projekt 17']",Schreiben,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
73,Firstname,Name,"['Projekt 17', 'Projekt 8', 'Projekt 9']","['Projekt 25', 'Projekt 26']",Programmieren,"{""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
74,Firstname,Name,"['Projekt 4', 'Projekt 37', 'Projekt 16']","['Projekt 26', 'Projekt 3']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
75,Firstname,Name,"['Projekt 20', 'Projekt 41', 'Projekt 0']","['Projekt 55', 'Projekt 52']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""Python"":""Anfänger"",""PHP"":""Fortgeschritten""}"
76,Firstname,Name,"['Projekt 12', 'Projekt 35', 'Projekt 25']","['Projekt 6', 'Projekt 47']",Schreiben,"{""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""PHP"":""Experte""}"
77,Firstname,Name,"['Projekt 16', 'Projekt 18', 'Projekt 33']","['Projekt 26', 'Projekt 1']",Schreiben,"{""C++"":""Experte"",""C#"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger""}"
78,Firstname,Name,"['Projekt 18', 'Projekt 43', 'Projekt 45']","['Projekt 19', 'Projekt 1']",Programmieren,"{""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
79,Firstname,Name,"['Projekt 21', 'Projekt 32', 'Projekt 40']","['Projekt 24', 'Projekt 31']",Schreiben,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
80,Firstname,Name,"['Projekt 3', 'Projekt 25', 'Projekt 58']","['Projekt 30', 'Projekt 1']",Programmieren,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten""}"
81,Firstname,Name,"['Projekt 32', 'Projekt 39', 'Projekt 29']","['Projekt 7', 'Projekt 16']",Programmieren,"{""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
82,Firstname,Name,"['Projekt 15', 'Projekt 53', 'Projekt 16']","['Projekt 46', 'Projekt 51']",Programmieren,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
83,Firstname,Name,"['Projekt 19', 'Projekt 30', 'Projekt 31']","['Projekt 14', 'Projekt 58']",Schreiben,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
84,Firstname,Name,"['Projekt 54', 'Projekt 49', 'Projekt 5']","['Projekt 38', 'Projekt 18']",Schreiben,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Anfänger""}"
85,Firstname,Name,"['Projekt 22', 'Projekt 17', 'Projekt 52']","['Projekt 41', 'Projekt 30']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
86,Firstname,Name,"['Projekt 57', 'Projekt 17', 'Projekt 49']","['Projekt 46', 'Projekt 53']",Schreiben,"{""C"":""Experte"",""C#"":""Anfänger"",""Java"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
87,Firstname,Name,"['Projekt 28', 'Projekt 46', 'Projekt 19']","['Projekt 56', 'Projekt 35']",Programmieren,"{""C++"":""Experte"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
88,Firstname,Name,"['Projekt 0', 'Projekt 34', 'Projekt 47']","['Projekt 59', 'Projekt 17']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
89,Firstname,Name,"['Projekt 52', 'Projekt 3', 'Projekt 53']","['Projekt 25', 'Projekt 20']",Schreiben,"{""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
90,Firstname,Name,"['Projekt 11', 'Projekt 14', 'Projekt 10']","['Projekt 18', 'Projekt 16']",Schreiben,"{""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
