,MatrikelNr,Nachname,Vorname,Kenntnisse,Erstwunsch,Zweitwunsch,Drittwunsch
55,6739420,Bozych,Todd,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger),Project_15,Project_5,Project_2
56,5037518,Raya,Lucinda,Java (Anfänger)# C (Fortgeschritten)# C++ (Fortgeschritten)# C# (Anfänger)# HTML/CSS (Fortgeschritten)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_2,Project_17,Project_4
57,514924,Doherty,Robert,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger),Project_3,Project_16,Project_4
58,827955,Perry,Mary,Java (Fortgeschritten)# C++ (Anfänger)# HTML/CSS (Fortgeschritten)# Python (Anfänger)# JavaScript (Fortgeschritten),Project_12,Project_9,Project_13
59,8610181,Soto,David,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# C# (Anfänger)# Python (Anfänger),Project_2,Project_18,Project_4
60,3516954,Miller,Andre,Java (Anfänger)# C (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Anfänger),Project_13,Project_17,Project_10
61,8621750,Bolling,Marcus,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger),Project_18,Project_1,Project_4
62,2260746,Gallagher,Richard,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# Python (Fortgeschritten),Project_6,Project_2,Project_13
63,4569917,Vanderford,Jeremy,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_9,Project_2,Project_17
64,5450457,Redmon,James,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger)# PHP (Anfänger),Project_12,Project_1,Project_13
65,6622953,Martin,Ashlee,Java (Anfänger)# C (Anfänger)# C++ (Fortgeschritten)# Python (Fortgeschritten),Project_2,Project_18,Project_4
66,3684839,Williams,Joshua,Java (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Fortgeschritten)# JavaScript (Anfänger)# PHP (Anfänger),Project_13,Project_2,Project_17
67,5646882,Robinson,Maria,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger),Project_13,Project_17,Project_14
68,4727339,Carter,Ben,Java (Anfänger)# Python (Anfänger),Project_13,Project_3,Project_9
69,2158700,Laxton,Ruth,Java (Anfänger)# C (Anfänger)# Python (Anfänger),Project_13,Project_3,Project_9
70,5057805,Rudio,Kendra,Java (Anfänger)# C (Fortgeschritten)# C++ (Anfänger)# Python (Anfänger),Project_9,Project_17,Project_2
71,9384417,Blanks,Bonnie,Java (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_16,Project_8,Project_3
72,7358120,Bowen,Christopher,Java (Anfänger)# C++ (Anfänger),Project_13,Project_3,Project_18
73,630221,George,Willie,Java (Anfänger)# C (Fortgeschritten)# C++ (Fortgeschritten),Project_2,Project_8,Project_17
74,3442759,Moris,Teresa,Java (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_10,Project_13,Project_17
75,4062773,Kirkpatrick,Joseph,Java (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger),Project_10,Project_13,Project_17
76,9572878,Albers,Ruth,Java (Anfänger)# C++ (Anfänger)# JavaScript (Anfänger),Project_13,Project_2,Project_4
77,3978481,Mavraganis,Jose,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger),Project_16,Project_4,Project_17
78,9906547,Haworth,Anthony,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# C# (Fortgeschritten)# HTML/CSS (Fortgeschritten)# Python (Fortgeschritten)# JavaScript (Fortgeschritten)# PHP (Fortgeschritten),Project_17,Project_10,Project_4
79,4540739,Jimenez,Brad,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Experte)# JavaScript (Anfänger)# PHP (Anfänger),Project_2,Project_10,Project_9
80,1064954,Nieves,Charles,Java (Fortgeschritten)# C++ (Anfänger)# Python (Anfänger),Project_14,Project_18,Project_10
81,4826831,Donaldson,Denise,Java (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_13,Project_2,Project_4
82,2942361,Newcomb,Pablo,Java (Anfänger)# C (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Fortgeschritten)# Python (Anfänger)# JavaScript (Fortgeschritten),Project_13,Project_17,Project_10
83,8594942,Harris,Dominick,Java (Anfänger)# HTML/CSS (Anfänger)# JavaScript (Fortgeschritten),Project_14,Project_2,Project_13
84,4047301,Dembitzer,Susie,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Fortgeschritten)# Python (Anfänger)# JavaScript (Fortgeschritten)# PHP (Anfänger),Project_2,Project_4,Project_10
85,1721957,Buell,Jack,Java (Fortgeschritten)# C++ (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_13,Project_6,Project_14
86,993445,Echols,Elizabeth,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_8,Project_13,Project_2
87,853327,Moretto,Jonathan,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_13,Project_17,Project_4
88,2358309,Kenney,Lisa,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Fortgeschritten),Project_15,Project_11,Project_4
89,495735,Delzer,Nicole,Java (Anfänger)# Python (Anfänger),Project_2,Project_15,Project_13
90,6941337,Fairchild,Tiffany,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Fortgeschritten)# Python (Fortgeschritten)# JavaScript (Anfänger),Project_2,Project_11,Project_9
91,4926504,Gerwitz,Gary,Java (Anfänger)# C (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# PHP (Anfänger),Project_2,Project_15,Project_13
92,9386388,Knaebel,Dale,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_13,Project_2,Project_5
93,4014592,Mccann,Christie,Java (Fortgeschritten)# C (Experte)# C++ (Experte)# C# (Fortgeschritten)# HTML/CSS (Anfänger)# JavaScript (Anfänger),Project_2,Project_10,Project_9
94,1871950,Theil,Anne,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_13,Project_6,Project_2
95,9018175,Allen,Joshua,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# C# (Anfänger)# HTML/CSS (Fortgeschritten)# Python (Fortgeschritten)# JavaScript (Fortgeschritten),Project_8,Project_5,Project_6
96,446008,Dearcos,Arnold,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Anfänger),Project_10,Project_8,Project_19
97,632538,Gentle,Windy,Java (Fortgeschritten)# C++ (Anfänger)# C# (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_13,Project_2,Project_4
98,8961342,Stpierre,Violet,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_18,Project_7,Project_5
99,5084144,Womble,Patrick,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# JavaScript (Anfänger),Project_1,Project_12,Project_11
100,5189019,Watkins,Erica,Java (Anfänger)# C (Anfänger)# C++ (Fortgeschritten)# Python (Fortgeschritten),Project_2,Project_10,Project_9
101,6498201,Thomas,Robert,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# Python (Anfänger),Project_12,Project_13,Project_10
102,8421502,Tompkins,Tony,Java (Anfänger)# C (Anfänger)# C++ (Fortgeschritten)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_18,Project_7,Project_5
103,7561189,Angelini,Mitzi,Java (Anfänger)# C++ (Anfänger),Project_15,Project_3,Project_13
104,8951467,Mehr,David,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_13,Project_6,Project_16
105,6440879,Whatley,Amanda,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# Python (Fortgeschritten),Project_2,Project_10,Project_9
106,8146554,Aldridge,Iris,Java (Anfänger)# C++ (Anfänger),Project_4,Project_2,Project_13
107,468356,Brownlee,Stanley,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger),Project_2,Project_8,Project_1
108,489853,Osgood,Mario,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_7,Project_3,Project_16
109,6157150,Howell,Jasmine,Java (Fortgeschritten)# C (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger),Project_17,Project_1,Project_4
110,8610409,Welter,Harry,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_6,Project_4,Project_8
111,5694005,Gilbert,Alice,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_4,Project_2,Project_6
112,955424,Ross,Palma,Java (Anfänger)# C++ (Anfänger),Project_4,Project_15,Project_7
113,1738382,Stelly,Teresa,Java (Fortgeschritten)# C (Anfänger)# Python (Fortgeschritten),Project_2,Project_8,Project_13
114,9431069,Taylor,Margaret,Java (Fortgeschritten)# C (Fortgeschritten)# Python (Fortgeschritten),Project_13,Project_2,Project_10
115,2628175,Briggs,Claude,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# C# (Anfänger)# Python (Anfänger),Project_8,Project_9,Project_14
116,4003962,Riley,Charles,Java (Anfänger)# C++ (Anfänger),Project_13,Project_4,Project_5
117,7694232,Dunn,Kirsten,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Experte)# JavaScript (Anfänger)# PHP (Anfänger),Project_8,Project_3,Project_18
118,4885756,Harrison,William,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger),Project_4,Project_14,Project_7
119,9933725,Norman,Norma,Java (Anfänger)# C (Anfänger)# C++ (Fortgeschritten)# Python (Fortgeschritten)# JavaScript (Anfänger),Project_6,Project_2,Project_13
120,531785,Carter,Shaina,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger),Project_2,Project_10,Project_9
121,3185252,Crenshaw,Paul,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Fortgeschritten)# JavaScript (Anfänger),Project_15,Project_5,Project_2
122,6352024,Moore,Louis,Java (Anfänger)# C++ (Fortgeschritten)# Python (Anfänger),Project_13,Project_6,Project_17
123,5864498,Nugent,Ralph,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger),Project_10,Project_19,Project_4
124,1342308,Threatt,Bruce,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten),Project_2,Project_13,Project_18
125,3313959,Oates,Ronald,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_18,Project_9,Project_14
126,1084371,Woods,Lori,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Fortgeschritten)# JavaScript (Anfänger)# PHP (Anfänger),Project_8,Project_9,Project_3
127,8819720,Cagle,Byron,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Fortgeschritten)# Python (Anfänger)# JavaScript (Fortgeschritten)# PHP (Anfänger),Project_6,Project_2,Project_13
128,5376104,Baugh,Richard,Java (Anfänger)# C++ (Fortgeschritten),Project_2,Project_9,Project_13
129,8820933,Seybold,Whitney,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger),Project_6,Project_8,Project_14
130,9930417,Curry,Richard,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# C# (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger)# PHP (Anfänger),Project_17,Project_7,Project_18
131,9093719,Lindstedt,Paul,Java (Anfänger)# C (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_5,Project_9,Project_10
132,8348230,Sibert,Paula,Java (Fortgeschritten)# C++ (Anfänger)# Python (Fortgeschritten),Project_13,Project_6,Project_17
133,3617336,Brown,Stephan,Java (Fortgeschritten)# C (Anfänger)# Python (Anfänger),Project_10,Project_2,Project_7
134,182519,Mackenzie,Christopher,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger),Project_2,Project_13,Project_10
135,5153810,Williams,Randy,Java (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Fortgeschritten)# Python (Anfänger)# PHP (Anfänger),Project_13,Project_2,Project_17
136,63183,Heisler,Maude,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# C# (Fortgeschritten)# HTML/CSS (Fortgeschritten)# Python (Fortgeschritten)# JavaScript (Anfänger),Project_13,Project_10,Project_11
137,2390827,Scandurra,Candace,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_9,Project_1,Project_12
138,3843825,Rogers,Sandra,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger),Project_10,Project_6,Project_14
139,7657319,Mcdermott,Margaret,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten),Project_18,Project_2,Project_13
140,9682927,Damboise,Edna,Java (Anfänger)# C++ (Anfänger),Project_2,Project_4,Project_13
141,7013213,Hudspeth,Sanford,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_4,Project_18,Project_5
142,8669318,Roberson,Andrew,Java (Anfänger)# C++ (Fortgeschritten)# C# (Fortgeschritten)# Python (Anfänger)# JavaScript (Anfänger),Project_19,Project_3,Project_7
143,6104769,Russo,Scott,Java (Experte)# C (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Fortgeschritten)# Python (Experte)# JavaScript (Fortgeschritten),Project_2,Project_10,Project_13
144,1897681,Mays,Carl,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_5,Project_2,Project_9
145,5054325,Yantzer,Sarah,Java (Fortgeschritten)# C++ (Fortgeschritten)# Python (Anfänger),Project_3,Project_10,Project_13
146,1137625,Lee,Adrian,Java (Experte)# C (Fortgeschritten)# C++ (Fortgeschritten)# C# (Experte)# HTML/CSS (Fortgeschritten)# Python (Fortgeschritten)# JavaScript (Anfänger)# PHP (Anfänger),Project_8,Project_3,Project_18
147,3259079,Bell,Amy,Java (Anfänger)# C (Anfänger)# HTML/CSS (Experte)# Python (Fortgeschritten)# JavaScript (Fortgeschritten),Project_2,Project_15,Project_13
148,2075895,Beck,Jack,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_8,Project_13,Project_2
149,2663187,Stallworth,John,Java (Anfänger)# C++ (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_13,Project_4,Project_17
150,1328388,Prouse,Jackie,Java (Anfänger)# C++ (Anfänger),Project_6,Project_4,Project_13
151,9275405,Muddaththir,Freida,Java (Anfänger)# C (Fortgeschritten)# C++ (Anfänger)# Python (Anfänger),Project_13,Project_2,Project_9
152,1279850,Owen,Matthew,Java (Anfänger)# C++ (Anfänger),Project_16,Project_8,Project_3
153,8817884,Dombeck,William,Java (Anfänger)# HTML/CSS (Anfänger)# JavaScript (Anfänger),Project_13,Project_14,Project_2
154,1560820,Schmid,James,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# C# (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger),Project_4,Project_2,Project_6
155,9822751,Howard,Frank,Java (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_10,Project_19,Project_4
156,2551827,Butcher,Bonnie,Java (Anfänger)# C++ (Anfänger),Project_13,Project_4,Project_17
157,2037650,Devlin,Edwin,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_9,Project_13,Project_2
158,1014018,Harris,Tommy,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_10,Project_2,Project_9
159,8985250,Krous,Linda,Java (Anfänger)# HTML/CSS (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_13,Project_17,Project_8
160,5513700,Bryant,Jose,Java (Anfänger)# C++ (Anfänger),Project_8,Project_13,Project_2
161,3033483,Simpson,Ricky,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_12,Project_13,Project_10
